nome,eps
Steins;Gate 0,TV (23 eps)
Fate/Zero 2nd Season,TV (12 eps)
Fruits Basket 2nd Season,TV (25 eps)
Hotaru no Haka,Movie (1 eps)
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA (14 eps)
Mushishi: Hihamukage,TV Special (1 eps)
Zoku Natsume Yuujinchou,TV (13 eps)
Shingeki no Kyojin Season 2,TV (12 eps)
Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps)
Bakuman. 3rd Season,TV (25 eps)
Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps)
Gintama. Porori-hen,TV (13 eps)
Sora yori mo Tooi Basho,TV (13 eps)
Yuru Camp△ Season 2,TV (13 eps)
Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps)
Kimi ni Todoke 3rd Season,ONA (5 eps)
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV (26 eps)
Samurai Champloo,TV (26 eps)
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV (39 eps)
Ousama Ranking,TV (23 eps)
Tian Guan Cifu Special,ONA (1 eps)
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie (1 eps)
Mob Psycho 100,TV (12 eps)
One Punch Man,TV (12 eps)
Ansatsu Kyoushitsu 2nd Season,TV (25 eps)
Aria the Origination,TV (13 eps)
Spy x Family,TV (12 eps)
Uchuu Kyoudai,TV (99 eps)
Yakusoku no Neverland,TV (12 eps)
Summertime Render,TV (25 eps)
Nichijou,TV (26 eps)
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie (1 eps)
Banana Fish,TV (24 eps)
Chainsaw Man,TV (12 eps)
Chihayafuru 3,TV (24 eps)
Gintama: The Semi-Final,Special (2 eps)
Yuu☆Yuu☆Hakusho,TV (112 eps)
Mo Dao Zu Shi,ONA (15 eps)
Mo Dao Zu Shi: Xian Yun Pian,ONA (8 eps)
Rainbow: Nisha Rokubou no Shichinin,TV (26 eps)
Owarimonogatari,TV (12 eps)
Pluto,ONA (8 eps)
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie (1 eps)
Uma Musume: Pretty Derby - Shin Jidai no Tobira,Movie (1 eps)
Shiguang Dailiren: Yingdu Pian,ONA (6 eps)
Zoku Owarimonogatari,TV (6 eps)
Doupo Cangqiong: Nian Fan,ONA (157 eps)
Grand Blue,TV (12 eps)
Haikyuu!!,TV (25 eps)
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,TV (24 eps)
Karakai Jouzu no Takagi-san Movie,Movie (1 eps)
Kimetsu no Yaiba,TV (26 eps)
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,TV (12 eps)
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps)
Bungou Stray Dogs 4th Season,TV (13 eps)
Golden Kamuy 3rd Season,TV (12 eps)
