nome,eps
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,Movie (1 eps)
Rozen Maiden: Ouvertüre,TV Special (2 eps)
Sidonia no Kishi: Daikyuu Wakusei Seneki,TV (12 eps)
Tegamibachi Reverse,TV (25 eps)
Tenshi no Tamago,OVA (1 eps)
Tsuki ga Michibiku Isekai Douchuu,TV (12 eps)
Ueki no Housoku,TV (51 eps)
Urusei Yatsura,TV (195 eps)
Ushiro no Shoumen Daare,Movie (1 eps)
Xiehou Ta de Shaonu Shidai,ONA (18 eps)
Xingchen Bian: Po Tian Mi Ju,ONA (16 eps)
Yamato Nadeshiko Shichihenge♥,TV (25 eps)
Yao Shen Ji 7th Season,ONA (52 eps)
School Rumble: Ichi Gakki Hoshuu,OVA (2 eps)
Tetsuwan Birdy Decode:02,TV (12 eps)
Uramichi Oniisan,TV (13 eps)
Watashi no Ashinaga Ojisan,TV (40 eps)
Wu Dong Qian Kun 2nd Season,ONA (12 eps)
Bakuten!! Movie,Movie (1 eps)
BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,ONA (2 eps)
Boku no Kokoro no Yabai Yatsu: Twi-Yaba,ONA (1 eps)
Break Blade Movie 2: Ketsubetsu no Michi,Movie (1 eps)
Chuunibyou demo Koi ga Shitai!,TV (12 eps)
Daicon Opening Animations,Special (2 eps)
Doupo Cangqiong 2nd Season Specials,ONA (3 eps)
Gekkan Shoujo Nozaki-kun Specials,Special (6 eps)
Haikyuu!! Lev Genzan!,OVA (1 eps)
Joshikousei no Mudazukai,TV (12 eps)
Keroro Gunsou,TV (358 eps)
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",Special (1 eps)
Kui Cheng Shoufu Cong Youxi Kaishi,ONA (16 eps)
Kuroko no Basket 2nd Season NG-shuu,Special (9 eps)
Macross Plus,OVA (4 eps)
Macross Plus Movie Edition,Movie (1 eps)
Meitantei Conan Movie 16: 11-ninme no Striker,Movie (1 eps)
Monsters: Ippyaku Sanjou Hiryuu Jigoku,ONA (1 eps)
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,TV Special (1 eps)
One Punch Man Specials,Special (6 eps)
One Punch Man: Road to Hero,OVA (1 eps)
Princess Principal: Crown Handler Movie 2,Movie (1 eps)
Kidou Keisatsu Patlabor: On Television,TV (47 eps)
Kyousou Giga (TV),TV (10 eps)
Luo Xiao Hei Zhan Ji,ONA (28 eps)
Muumindani no Suisei,Movie (1 eps)
New Game!!,TV (12 eps)
Nurarihyon no Mago OVA,OVA (2 eps)
Overlord Movie 2: Shikkoku no Eiyuu,Movie (1 eps)
Pokemon Concierge,ONA (4 eps)
Psycho-Pass Movie,Movie (1 eps)
Shigatsu wa Kimi no Uso: Moments,OVA (1 eps)
Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,Movie (1 eps)
The iDOLM@STER Cinderella Girls: U149,TV (12 eps)
Xing Yu Siwan Nian,ONA (16 eps)
Yi Nian Yong Heng 3rd Season,ONA (59 eps)
"Yuru Yuri,",OVA (1 eps)
Ai no Utagoe wo Kikasete,Movie (1 eps)
Asagao to Kase-san.,OVA (1 eps)
BanG Dream! Film Live,Movie (1 eps)
Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,Movie (1 eps)
Date A Live V,TV (12 eps)
Fruits Basket,TV (26 eps)
Hakumei to Mikochi,TV (12 eps)
Hanasakeru Seishounen,TV (39 eps)
IDOLiSH7,TV (17 eps)
Isekai Shokudou 2,TV (12 eps)
Ani ni Tsukeru Kusuri wa Nai! 3,TV (12 eps)
Aria the Animation,TV (13 eps)
D.Gray-man Hallow,TV (13 eps)
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV (12 eps)
Hakuouki Movie 2: Shikon Soukyuu,Movie (1 eps)
Hourou Musuko,TV (11 eps)
Ichigo Mashimaro Encore,OVA (2 eps)
Junjou Romantica 2,TV (12 eps)
Junjou Romantica OVA,OVA (2 eps)
Kakushigoto Movie,Movie (1 eps)
Karakai Jouzu no Takagi-san,TV (12 eps)
Kidou Senshi Gundam: Gyakushuu no Char,Movie (1 eps)
Kill la Kill Specials,Special (2 eps)
Koutetsujou no Kabaneri Movie 3: Unato Kessen,Movie (1 eps)
Little Busters! EX,Special (8 eps)
Love Live! Superstar!! 2nd Season,TV (12 eps)
Meitantei Conan Movie 21: Karakurenai no Love Letter,Movie (1 eps)
Naruto: Shippuuden Movie 6 - Road to Ninja,Movie (1 eps)
Princess Sara,TV (46 eps)
Seitokai Yakuindomo*,TV (13 eps)
Tensei shitara Slime Datta Ken 3rd Season,TV (24 eps)
Tiger & Bunny Movie 2: The Rising,Movie (1 eps)
Tsurune: Kazemai Koukou Kyuudou-bu,TV (13 eps)
Uchuu Kaizoku Captain Herlock,TV (42 eps)
Shin Kidou Senki Gundam Wing,TV (49 eps)
Shoujo Kakumei Utena: Adolescence Mokushiroku,Movie (1 eps)
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,TV (12 eps)
Soukou Kihei Votoms,TV (52 eps)
Space Cobra,TV (31 eps)
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,TV (6 eps)
3D Kanojo: Real Girl 2nd Season,TV (12 eps)
Bai Yao Pu 3rd Season,ONA (12 eps)
Baka to Test to Shoukanjuu Ni!,TV (13 eps)
Break Blade Movie 6: Doukoku no Toride,Movie (1 eps)
Chi's Sweet Home,TV (104 eps)
Doupo Cangqiong: Yuanqi,ONA (3 eps)
Hanhua Riji 3rd Season,ONA (12 eps)
InuYasha Movie 2: Kagami no Naka no Mugenjou,Movie (1 eps)
Kami nomi zo Shiru Sekai: Tenri-hen,OVA (2 eps)
Kanojo to Kanojo no Neko: Everything Flows,TV (4 eps)
Kengan Ashura Part 2,ONA (12 eps)
Luo Xiao Hei Zhan Ji: Zhongsheng Zhi Men,ONA (12 eps)
Macross F: Close Encounter - Deculture Edition,Special (1 eps)
Mahouka Koukou no Rettousei: Tsuioku-hen,TV Special (1 eps)
Princess Principal,TV (12 eps)
Rilakkuma to Kaoru-san,ONA (13 eps)
Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa,Special (2 eps)
Jujutsu Kaisen 2nd Season Recaps,TV Special (2 eps)
Kindaichi Shounen no Jikenbo Returns 2nd Season,TV (22 eps)
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,Movie (1 eps)
Kitarou Tanjou: Gegege no Nazo,Movie (1 eps)
Kuroko no Basket 3rd Season NG-shuu,Special (9 eps)
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,TV (13 eps)
Meitantei Conan Movie 17: Zekkai no Private Eye,Movie (1 eps)
Mousou Dairinin,TV (13 eps)
Pokemon Movie 01: Mewtwo no Gyakushuu,Movie (1 eps)
Rurouni Kenshin DVD-BOX Special Ending,Special (1 eps)
Shirobako Movie,Movie (1 eps)
Shoujo☆Kageki Revue Starlight,TV (12 eps)
Tenkuu no Escaflowne,TV (26 eps)
ACCA: 13-ku Kansatsu-ka,TV (12 eps)
Aoi Bungaku Series,TV (12 eps)
Binbougami ga!,TV (13 eps)
Bungou Stray Dogs: Hitori Ayumu,OVA (1 eps)
Cardcaptor Sakura: Clear Card-hen,TV (22 eps)
Doupo Cangqiong 2nd Season,ONA (12 eps)
Doupo Cangqiong Specials,ONA (2 eps)
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,Special (1 eps)
Gokinjo Monogatari,TV (50 eps)
Hai to Gensou no Grimgar,TV (12 eps)
Hayate no Gotoku!!,TV (25 eps)
Ichigo Mashimaro OVA,OVA (3 eps)
Initial D Battle Stage 2,OVA (1 eps)
Akebi-chan no Sailor-fuku,TV (12 eps)
Ansatsu Kyoushitsu: Kagaijugyou-hen,ONA (8 eps)
Arslan Senki (TV),TV (25 eps)
Bokura wa Minna Kawai-sou,TV (12 eps)
Chibi Maruko-chan,TV (142 eps)
Code Geass: Hangyaku no Lelouch II - Handou,Movie (1 eps)
Dekiru Neko wa Kyou mo Yuuutsu,TV (13 eps)
Evangelion Movie 3: Q,Movie (1 eps)
Fairy Tail (2014),TV (102 eps)
Free! Movie 2: Timeless Medley - Yakusoku,Movie (1 eps)
Giovanni no Shima,Movie (1 eps)
Hanma Baki: Son of Ogre,ONA (12 eps)
Kengan Ashura Season 2,ONA (12 eps)
Kimi to Boku.,TV (13 eps)
Kuroko no Basket NG-shuu,Special (9 eps)
Kuroshitsuji,TV (24 eps)
Meitantei Conan Movie 10: Tantei-tachi no Requiem Recap,TV Special (1 eps)
Mitsudomoe Zouryouchuu!,TV (8 eps)
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,OVA (1 eps)
Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,Special (1 eps)
Non Non Biyori: Okinawa e Ikukoto ni Natta,OVA (1 eps)
Oniichan wa Oshimai!,TV (12 eps)
Seikai no Senki,TV (13 eps)
Seto no Hanayome,TV (26 eps)
Shin Mazinger Shougeki! Z-hen,TV (26 eps)
Shixiong A Shixiong,ONA (13 eps)
Toaru Kagaku no Railgun,TV (24 eps)
Tondemo Skill de Isekai Hourou Meshi,TV (12 eps)
Tsuritama,TV (12 eps)
Shingeki no Kyojin Season 3 Specials,Special (7 eps)
Sugar Apple Fairy Tale Part 2,TV (12 eps)
Tokyo Revengers: Seiya Kessen-hen,TV (13 eps)
Working!!,TV (13 eps)
Yama no Susume: Next Summit,TV (12 eps)
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,TV (6 eps)
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,TV (12 eps)
Aggressive Retsuko (ONA),ONA (10 eps)
Arashi no Yoru ni,Movie (1 eps)
Cang Yuan Tu: Dongning Fu Fanwai Pian,ONA (4 eps)
Dakaretai Otoko 1-i ni Odosarete Imasu. Movie: Spain-hen,Movie (1 eps)
Date A Bullet: Nightmare or Queen,Movie (1 eps)
Digimon Tamers,TV (51 eps)
Drifters: Special Edition,OVA (1 eps)
Fairy Tail: 100-nen Quest,TV (25 eps)
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,Special (1 eps)
Gakuen Alice,TV (26 eps)
Hachimitsu to Clover Specials,Special (2 eps)
Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... desu ka!?,Movie (1 eps)
Kami nomi zo Shiru Sekai,TV (12 eps)
Kidou Senshi Gundam Unicorn RE:0096,TV (22 eps)
Machikado Mazoku,TV (12 eps)
Mahou Shoujo ni Akogarete,TV (13 eps)
Minami-ke,TV (13 eps)
Minami-ke Tadaima,TV (13 eps)
Nezha Zhi Mo Tong Jiang Shi,Movie (1 eps)
Pandora Hearts,TV (25 eps)
Princess Principal: Crown Handler Movie 3,Movie (1 eps)
Psycho-Pass Movie: Providence,Movie (1 eps)
Rokuhou-dou Yotsuiro Biyori,TV (12 eps)
"Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru",TV (12 eps)
Kimagure Orange☆Road: Ano Hi ni Kaeritai,Movie (1 eps)
Konnichiwa Anne: Before Green Gables,TV (39 eps)
Nejimaki Seirei Senki: Tenkyou no Alderamin,TV (13 eps)
Orange,TV (13 eps)
Poyopoyo Kansatsu Nikki,TV (52 eps)
Ranma ½ Super,OVA (3 eps)
Sidonia no Kishi,TV (12 eps)
Tong Ling Fei,ONA (16 eps)
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,OVA (26 eps)
Yowamushi Pedal: New Generation,TV (25 eps)
5-toubun no Hanayome,TV (12 eps)
Akuyaku Reijou Tensei Ojisan,TV (12 eps)
Ao Haru Ride,TV (12 eps)
Bishoujo Senshi Sailor Moon SuperS,TV (39 eps)
Bokura wa Minna Kawai-sou: Hajimete no,Special (1 eps)
Cardcaptor Sakura Movie 1,Movie (1 eps)
Daa! Daa! Daa!,TV (78 eps)
Di Yi Xulie,ONA (16 eps)
Doraemon Movie 07: Nobita to Tetsujin Heidan,Movie (1 eps)
Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,Movie (1 eps)
Genshiken,TV (12 eps)
Inuyashiki,TV (11 eps)
Aggressive Retsuko,TV (100 eps)
Aikatsu Stars!,TV (100 eps)
AKB0048: Next Stage,TV (13 eps)
Bleach Movie 4: Jigoku-hen,Movie (1 eps)
Bounen no Xamdou,ONA (26 eps)
Break Blade Movie 1: Kakusei no Toki,Movie (1 eps)
Diamond no Ace: Second Season OVA,OVA (2 eps)
Flip Flappers,TV (13 eps)
Free!: FrFr - Short Movie,Special (7 eps)
Genshiken OVA,OVA (3 eps)
Gensou Mangekyou: The Memories of Phantasm,OVA (18 eps)
Heion Sedai no Idaten-tachi,TV (11 eps)
High School Fleet Movie,Movie (1 eps)
Hirogaru Sky! Precure,TV (50 eps)
Ichigo Mashimaro,TV (12 eps)
K: Missing Kings,Movie (1 eps)
Koyomimonogatari,ONA (12 eps)
Kyoukai no Kanata: Shinonome,Special (1 eps)
Layton Kyouju to Eien no Utahime,Movie (1 eps)
Lupin III,TV (23 eps)
Mashle,TV (12 eps)
Master Keaton,TV (24 eps)
Meitantei Conan Movie 09: Suihei Senjou no Strategy Recap,TV Special (1 eps)
Meitantei Conan: Conan vs. Kid - Shark & Jewel,Movie (1 eps)
Nanatsu no Taizai,TV (24 eps)
Osomatsu-san 2nd Season,TV (25 eps)
Overlord Movie 1: Fushisha no Ou,Movie (1 eps)
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),TV (24 eps)
Sasaki to Miyano: Koi ni Kizuku Mae no Chotto Shita Hanashi.,OVA (1 eps)
Seikai no Monshou,TV (13 eps)
Seikai no Senki III,OVA (2 eps)
Sekaiichi Hatsukoi,TV (12 eps)
Servant x Service,TV (13 eps)
Sexy Commando Gaiden: Sugoi yo!! Masaru-san,TV (48 eps)
Shixiong A Shixiong 2nd Season,ONA (78 eps)
Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,Movie (1 eps)
Tamayura: Sotsugyou Shashin Part 1 - Kizashi,Movie (1 eps)
Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,Movie (1 eps)
Trapp Ikka Monogatari,TV (40 eps)
Senki Zesshou Symphogear AXZ,TV (13 eps)
Shingeki no Bahamut: Genesis,TV (12 eps)
Shingeki no Kyojin: The Final Season Specials,Special (2 eps)
Shinigami Bocchan to Kuro Maid 2nd Season,TV (12 eps)
Soukyuu no Fafner: Dead Aggressor - Exodus Part 2,TV (13 eps)
Tenchi Muyou! Ryououki,OVA (6 eps)
Tenchi Muyou! Ryououki 2nd Season,OVA (6 eps)
The iDOLM@STER Movie: Kagayaki no Mukougawa e!,Movie (1 eps)
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,TV (12 eps)
Tonikaku Kawaii 2nd Season,TV (12 eps)
Utawarerumono,TV (26 eps)
Blood+,TV (50 eps)
D4DJ First Mix,TV (13 eps)
Digimon Adventure tri. 3: Kokuhaku,Movie (1 eps)
Doraemon Movie 26: Nobita no Kyouryuu 2006,Movie (1 eps)
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,Movie (1 eps)
Eikoku Koi Monogatari Emma,TV (12 eps)
Fairy Tail: Final Series,TV (51 eps)
Free! Eternal Summer,TV (13 eps)
Fune wo Amu,TV (11 eps)
Fushigi Yuugi,TV (52 eps)
Gabriel DropOut Specials,Special (2 eps)
Gakkougurashi!,TV (12 eps)
Hakkenden: Touhou Hakken Ibun 2nd Season,TV (13 eps)
Huyao Xiao Hongniang: Yue Hong,ONA (13 eps)
Juubee Ninpuuchou,Movie (1 eps)
K: Seven Stories Movie 5 - Memory of Red - Burn,Movie (1 eps)
Kidou Senshi Gundam SEED Freedom,Movie (1 eps)
"Kimi to, Nami ni Noretara",Movie (1 eps)
Kino no Tabi: The Beautiful World - The Animated Series,TV (12 eps)
Kishibe Rohan wa Ugokanai,OVA (4 eps)
Kyou kara Maou!,TV (78 eps)
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Movie (1 eps)
Mahou Shoujo Lyrical Nanoha StrikerS,TV (26 eps)
Maria-sama ga Miteru: Haru,TV (13 eps)
Ojamajo Carnival!!,ONA (1 eps)
Owari no Seraph: Nagoya Kessen-hen,TV (12 eps)
Persona 3 the Movie 2: Midsummer Knight's Dream,Movie (1 eps)
Piano no Mori,Movie (1 eps)
R.O.D: Read or Die,OVA (3 eps)
Rozen Maiden: Träumend,TV (12 eps)
Jigoku Shoujo,TV (26 eps)
Jigoku Shoujo Mitsuganae,TV (26 eps)
Jungle wa Itsumo Hare nochi Guu Final,OVA (7 eps)
Kareshi Kanojo no Jijou,TV (26 eps)
Kimitachi wa Dou Ikiru ka,Movie (1 eps)
Mahoujin Guruguru,TV (45 eps)
Nurarihyon no Mago,TV (24 eps)
Ongaku,Movie (1 eps)
Puparia,ONA (1 eps)
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,Movie (1 eps)
Tegamibachi,TV (25 eps)
The iDOLM@STER,TV (25 eps)
White Album 2,TV (13 eps)
Yama no Susume Third Season,TV (13 eps)
Asobi Asobase Specials,Special (2 eps)
Chrno Crusade,TV (24 eps)
Chuuka Ichiban!,TV (52 eps)
Digimon Adventure Movie,Movie (1 eps)
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Movie (1 eps)
Free! Dive to the Future,TV (12 eps)
Hanhua Riji 2nd Season,ONA (12 eps)
Hellsing: Digest for Freaks,OVA (1 eps)
Hibike! Euphonium Movie 1: Kitauji Koukou Suisougaku-bu e Youkoso,Movie (1 eps)
Ani ni Tsukeru Kusuri wa Nai! 4,TV (12 eps)
Ashita no Nadja,TV (50 eps)
BanG Dream! Morfonication,Special (2 eps)
Bokura no,TV (24 eps)
Candy Candy,TV (115 eps)
Da Wang Rao Ming 2,ONA (12 eps)
Date A Bullet: Dead or Bullet,Movie (1 eps)
Doraemon Movie 33: Nobita no Himitsu Dougu Museum,Movie (1 eps)
Fanren Xiu Xian Chuan: Chongzhi Ban,ONA (21 eps)
Feng Ling Yu Xiu 2nd Season,ONA (12 eps)
Free! Movie 1: Timeless Medley - Kizuna,Movie (1 eps)
Full Metal Panic!,TV (24 eps)
Hakuouki Movie 1: Kyoto Ranbu,Movie (1 eps)
Hirano to Kagiura,Movie (1 eps)
Hoshiai no Sora,TV (12 eps)
Initial D Battle Stage,OVA (1 eps)
Initial D: Project D to the Next Stage - Project D e Mukete,Special (1 eps)
Junjou Romantica 3,TV (12 eps)
Kamonohashi Ron no Kindan Suiri 2nd Season,TV (13 eps)
Kekkai Sensen,TV (12 eps)
Kekkaishi,TV (52 eps)
Kuroko no Basket: Mou Ikkai Yarimasen ka,Special (1 eps)
Manga de Wakaru! Fate/Grand Order,TV Special (1 eps)
Persona 3 the Movie 3: Falling Down,Movie (1 eps)
Prison School,TV (12 eps)
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,Movie (1 eps)
Sengoku Youko: Senma Konton-hen,TV (22 eps)
Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,ONA (15 eps)
Shin Tennis no Oujisama vs. Genius 10,OVA (10 eps)
Shinigami Bocchan to Kuro Maid,TV (12 eps)
Tensura Nikki: Tensei shitara Slime Datta Ken,TV (12 eps)
Tianbao Fuyao Lu,ONA (13 eps)
Toaru Hikuushi e no Tsuioku,Movie (1 eps)
Top wo Nerae 2! Diebuster,OVA (6 eps)
Uchuu Kyoudai: Number Zero,Movie (1 eps)
Uma Musume: Pretty Derby Season 3,TV (13 eps)
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,OVA (1 eps)
Yong Sheng: Qizhuang Shanhe,ONA (16 eps)
Yong Sheng: Shi Nian Zhi Yue,ONA (12 eps)
You Shou Yan 3rd Season,ONA (12 eps)
Soredemo Sekai wa Utsukushii,TV (12 eps)
Sword Art Online: Alicization - War of Underworld,TV (12 eps)
Tennis no Oujisama: Another Story - Kako to Mirai no Message,OVA (4 eps)
Tensei shitara Slime Datta Ken: Coleus no Yume,ONA (3 eps)
Wanneng Lian Ai Zahuo Dian,ONA (16 eps)
World Trigger,TV (73 eps)
Yao Shen Ji 8th Season,ONA (52 eps)
Yowamushi Pedal: Glory Line,TV (25 eps)
Akiba Meido Sensou,TV (12 eps)
Akudama Drive,TV (12 eps)
Bai Lian Cheng Shen 2nd Season,ONA (52 eps)
Bishoujo Senshi Sailor Moon Eternal Movie 1,Movie (1 eps)
Black Jack (TV),TV (61 eps)
Boku no Hero Academia the Movie 3: World Heroes' Mission,Movie (1 eps)
Diamond no Ace OVA,OVA (3 eps)
Doraemon Movie 40: Nobita no Shin Kyouryuu,Movie (1 eps)
"Fuufu Ijou, Koibito Miman.",TV (12 eps)
Hakuouki: Sekkaroku,OVA (6 eps)
"Ima, Soko ni Iru Boku",TV (13 eps)
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,OVA (1 eps)
Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,TV (12 eps)
Kidou Butouden G Gundam,TV (49 eps)
Love Live! Sunshine!! 2nd Season,TV (13 eps)
Majin Tantei Nougami Neuro,TV (25 eps)
Majo Minarai wo Sagashite,Movie (1 eps)
Meitantei Conan: Kuro no Soshiki to Taiketsu no Rekishi,TV Special (1 eps)
Naruto: Shippuuden - Sunny Side Battle,Special (1 eps)
Ranma ½: Yomigaeru Kioku,OVA (2 eps)
Saint Seiya: Meiou Hades Elysion-hen,OVA (6 eps)
Koutetsujou no Kabaneri Movie 1: Tsudou Hikari,Movie (1 eps)
Koutetsujou no Kabaneri Movie 2: Moeru Inochi,Movie (1 eps)
Macross Δ Movie 2: Zettai Live!!!,Movie (1 eps)
Modern Love Tokyo: Kare ga Kanaderu Futari no Shirabe,ONA (1 eps)
Momo e no Tegami,Movie (1 eps)
Pokemon: Mezase Pokemon Master,TV (11 eps)
Pretty Rhythm: Rainbow Live,TV (51 eps)
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,Movie (1 eps)
Romeo x Juliet,TV (24 eps)
Strike Witches Movie,Movie (1 eps)
Sword Art Online: Alicization,TV (24 eps)
Tada-kun wa Koi wo Shinai,TV (13 eps)
Tsubasa Chronicle 2nd Season,TV (26 eps)
Ushio to Tora (TV),TV (26 eps)
Wonderful Precure!,TV (50 eps)
Yume-iro Pâtissière SP Professional,TV (13 eps)
Yuru Camp△ Specials,Special (3 eps)
Yuuki Bakuhatsu Bang Bravern,TV (12 eps)
Zhu Xian,ONA (26 eps)
Ao Haru Ride OVA,OVA (2 eps)
Ao no Exorcist Movie,Movie (1 eps)
Arknights: Touin Kiro,TV (8 eps)
BanG Dream! 2nd Season,TV (13 eps)
Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,OVA (1 eps)
COLORs,ONA (1 eps)
Dragon Ball Super: Super Hero,Movie (1 eps)
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,TV Special (1 eps)
Dragon Quest: Dai no Daibouken (TV),TV (46 eps)
Fairy Tail,TV (175 eps)
Fanren Xiu Xian Chuan: Yan Jia Bao Dazhan,ONA (4 eps)
Free! Dive to the Future - Soushun no Build-up!,Special (1 eps)
Fukigen na Mononokean Tsuzuki,TV (13 eps)
Full Metal Panic! Invisible Victory,TV (12 eps)
Ga-Rei: Zero,TV (12 eps)
GetBackers,TV (49 eps)
Gokushufudou Season 2,ONA (5 eps)
Hana yori Dango,TV (51 eps)
Hourou Musuko Specials,Special (2 eps)
Aa! Megami-sama! Tatakau Tsubasa,TV Special (2 eps)
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,OVA (3 eps)
Ajin Part 2,TV (13 eps)
Arakawa Under the Bridge,TV (13 eps)
Baka to Test to Shoukanjuu: Matsuri,OVA (2 eps)
Birdie Wing: Golf Girls' Story Season 2,TV (12 eps)
Byousoku 5 Centimeter,Movie (3 eps)
Hakumei to Mikochi: Neji to Bed to Irori to Bakuchi,Special (1 eps)
Heya Camp△: Sauna to Gohan to Sanrin Bike,Special (1 eps)
Higashi no Eden: Air Communication,Movie (1 eps)
Hokuto no Ken 2,TV (43 eps)
Hokuto no Ken: Raoh Gaiden Gekitou-hen,Movie (1 eps)
InuYasha Movie 1: Toki wo Koeru Omoi,Movie (1 eps)
Kami no Tou,TV (13 eps)
Kara no Kyoukai Movie 1: Fukan Fuukei,Movie (1 eps)
Kidou Keisatsu Patlabor the Movie,Movie (1 eps)
Kidou Keisatsu Patlabor: New OVA,OVA (16 eps)
Kubo-san wa Mob wo Yurusanai,TV (12 eps)
Log Horizon 2nd Season,TV (25 eps)
Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,OVA (3 eps)
Majo no Tabitabi,TV (12 eps)
MF Ghost,TV (12 eps)
Nisekoi,TV (20 eps)
Noein: Mou Hitori no Kimi e,TV (24 eps)
One Piece: Episode of Luffy - Hand Island no Bouken,TV Special (1 eps)
Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,OVA (1 eps)
Radiant 2nd Season,TV (21 eps)
Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,TV (12 eps)
Senjou no Valkyria,TV (26 eps)
Senpai ga Uzai Kouhai no Hanashi,TV (12 eps)
Shouwa Genroku Rakugo Shinjuu: Yotarou Hourou-hen,OVA (2 eps)
Sword Art Online Movie: Ordinal Scale,Movie (1 eps)
Tamayura: More Aggressive,TV (12 eps)
Totsukuni no Shoujo,OVA (1 eps)
Totsukuni no Shoujo (2022),OVA (1 eps)
Towa no Quon 6: Towa no Quon,Movie (1 eps)
UFO Robo Grendizer,TV (74 eps)
Wonder Egg Priority,TV (12 eps)
Yama no Susume Second Season,TV (24 eps)
"Yondemasu yo, Azazel-san.",OVA (4 eps)
Yuru Yuri,TV (12 eps)
Zhen Hun Jie,ONA (24 eps)
Sengoku Basara Movie: The Last Party,Movie (1 eps)
Shoukoku no Altair,TV (24 eps)
Shounan Bakusouzoku,OVA (12 eps)
Shuumatsu no Walküre II Part 2,ONA (5 eps)
Tales of Vesperia: The First Strike,Movie (1 eps)
Watashi ni Tenshi ga Maiorita! Precious Friends,Movie (1 eps)
Yowamushi Pedal Movie,Movie (1 eps)
Yozakura-san Chi no Daisakusen,TV (27 eps)
Aikatsu! Movie,Movie (1 eps)
Angel Beats! Specials,Special (2 eps)
Bai Yao Pu 4th Season,ONA (12 eps)
Biao Ren: Blades of the Guardians,ONA (15 eps)
Blue Lock vs. U-20 Japan,TV (14 eps)
Chuunibyou demo Koi ga Shitai! Ren,TV (12 eps)
Deaimon,TV (12 eps)
Durarara!!x2 Ketsu: Dufufufu!!,Special (1 eps)
Ensemble Stars!! Tsuioku Selection Element,ONA (6 eps)
Fairy Tail Movie 2: Dragon Cry,Movie (1 eps)
Gugure! Kokkuri-san,TV (12 eps)
Hakuouki: Hekketsuroku,TV (10 eps)
Hataraku Saibou,TV (13 eps)
Higashi no Eden Movie II: Paradise Lost,Movie (1 eps)
InuYasha Movie 4: Guren no Houraijima,Movie (1 eps)
Isekai Nonbiri Nouka,TV (12 eps)
Jian Lai,ONA (26 eps)
Juan Siliang,ONA (15 eps)
K: Return of Kings,TV (13 eps)
Kaitou Saint Tail,TV (43 eps)
Kiniro Mosaic: Thank You!!,Movie (1 eps)
Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance,Special (1 eps)
Konjiki no Gash Bell!!,TV (150 eps)
Moyashimon,TV (11 eps)
Murai no Koi,ONA (12 eps)
